Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city,date
53,30,89,44,880,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
54,19,90,136,600,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
55,150,59,127,16300,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
56,23,71,39,330,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
57,133,82,33,3790,0,1,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
58,76,142,54,490,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
59,35,212,21,1650,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
60,115,204,73,9270,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
61,79,127,98,2420,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
62,97,32,122,1950,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
63,177,67,29,2590,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
64,76,43,159,850,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
65,189,15,68,50,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
66,67,79,63,1600,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
67,74,55,7,6450,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
68,28,115,40,180,1,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
69,94,156,5,2440,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
70,41,21,23,4150,1,1,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
71,176,41,27,3770,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
72,68,77,43,2260,1,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
73,53,176,54,360,1,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
74,13,43,116,3430,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
75,128,38,51,550,0,1,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
76,77,64,45,1770,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
77,139,110,15,2170,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
78,86,151,80,1240,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
79,126,25,20,2030,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
80,173,117,3,530,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
81,151,13,59,1230,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
82,90,177,65,1450,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
83,71,106,59,1800,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
84,155,79,94,2880,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
85,85,89,49,1520,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
86,110,138,33,1740,0,1,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
87,84,97,2,420,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
88,37,51,68,11980,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
89,22,267,85,14210,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
90,268,96,9,4110,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
91,131,106,136,5520,0,1,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
92,41,144,27,4090,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
93,75,122,126,850,0,1,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
94,84,244,3,1560,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
95,66,157,98,1220,0,1,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
96,16,126,72,6390,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
97,64,46,62,2300,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
98,18,277,116,8870,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
99,145,51,165,3220,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
100,265,121,114,15130,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
101,31,151,3,1440,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
102,43,40,44,230,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
103,18,30,140,1840,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
104,96,23,106,1910,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
105,76,8,8,1980,1,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
106,38,249,62,500,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
107,170,108,100,4720,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
108,70,10,76,2000,1,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
109,86,48,85,640,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
110,75,262,205,30120,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
111,30,128,21,710,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
112,26,104,142,1110,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
113,13,239,69,1530,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
114,100,87,61,3420,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
115,59,12,47,1220,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
116,98,155,15,2090,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
117,128,107,96,17020,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
118,260,142,200,4850,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
119,273,50,31,440,1,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
120,106,250,156,20530,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
121,20,84,46,5400,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
122,172,138,157,950,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
123,212,223,123,15880,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
124,37,61,118,2000,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
125,72,272,24,420,0,1,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
126,78,125,82,2810,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
127,99,16,84,2140,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
128,90,88,40,1280,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
129,136,196,33,4160,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
130,54,85,32,370,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
131,124,108,112,19200,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
132,19,236,20,160,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
133,61,83,111,4240,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
134,114,13,135,1890,0,1,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
135,94,71,93,3720,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
136,35,140,29,4020,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
137,151,132,32,3950,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
138,163,24,57,1820,1,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
139,87,119,62,2320,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
140,168,158,124,16300,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
141,40,54,154,760,0,1,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
142,52,66,80,3200,1,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
143,22,70,68,11240,1,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
144,50,69,141,1160,0,1,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
145,56,146,113,690,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
146,78,149,59,1620,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
147,101,151,121,22270,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
148,44,39,86,2440,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
149,28,62,12,1520,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
150,53,138,109,810,1,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
151,40,7,55,1310,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
152,44,138,29,1820,1,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
153,199,10,18,1830,1,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
154,48,38,30,720,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
155,44,35,40,1870,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
156,23,9,91,2400,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
157,84,127,9,1680,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
158,177,39,55,2010,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
159,144,261,98,21490,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
160,47,112,104,12500,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
161,123,93,63,2930,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
162,45,153,134,1940,1,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
163,15,269,57,10800,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
164,92,42,73,300,1,1,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
165,136,6,219,1450,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
166,160,7,99,610,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
167,76,101,174,15640,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
168,65,63,44,1790,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
169,23,59,61,3610,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
170,103,158,45,1360,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
171,63,77,79,1230,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
172,168,60,15,1280,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
173,171,27,178,29610,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
174,155,31,74,3470,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
175,73,7,33,590,1,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
176,169,47,18,3270,0,1,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
177,17,133,63,660,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
178,87,52,46,1020,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
179,118,42,50,5900,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
180,168,15,58,1640,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
181,165,224,27,1750,0,1,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
182,30,15,69,1430,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
183,39,136,31,250,1,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
184,219,123,85,22230,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
185,117,157,119,15010,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
186,57,86,45,1360,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
187,115,109,54,3770,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
188,139,139,106,21460,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
189,199,37,31,2520,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
190,51,146,83,660,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
191,31,23,132,1320,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
192,16,201,55,1560,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
193,74,114,157,570,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
194,38,62,114,730,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
195,102,44,85,12570,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
196,10,5,38,4890,0,1,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
197,26,151,67,1120,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
198,51,16,2,2440,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
199,38,64,212,2320,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
200,45,105,56,2370,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
201,20,110,111,21790,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
202,287,127,102,15730,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
203,39,36,41,1750,1,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
204,108,116,54,10560,1,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
205,135,22,47,680,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
206,89,111,54,1970,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
207,84,100,6,2010,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
208,163,72,19,220,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
209,49,137,129,140,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
210,21,29,132,3990,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
211,19,42,36,2350,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
212,55,145,44,2080,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
213,220,104,96,15290,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
214,295,87,25,2740,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
215,295,57,88,3900,1,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
216,148,46,48,2370,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
217,71,119,37,320,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
218,69,104,36,2090,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
219,40,7,12,140,1,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
220,137,42,31,2200,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
221,11,91,171,1250,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
222,22,133,17,2110,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
223,53,125,121,810,1,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
224,89,159,56,140,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
225,172,135,113,19330,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
226,219,19,42,1470,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
227,46,84,57,1090,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
228,16,49,107,570,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
229,11,99,57,2230,1,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
230,259,116,105,25810,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
231,139,273,197,14720,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
232,152,148,57,3740,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
233,39,35,139,1440,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
234,163,175,30,60,0,1,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
235,104,130,112,18570,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
236,12,88,4,9900,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
237,17,35,183,3390,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
238,290,217,43,1090,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
239,51,28,52,1480,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
240,69,57,30,820,0,1,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
241,109,104,85,22630,0,1,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
242,113,83,49,1820,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
243,14,142,21,2240,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
244,22,128,34,3180,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
245,70,98,14,170,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
246,179,247,13,14660,1,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
247,126,138,16,1760,1,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
248,178,72,155,11340,1,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
249,241,219,24,3010,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
250,60,20,38,1790,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
251,267,154,34,290,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
252,264,85,6,1030,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
253,21,185,21,300,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
254,151,98,102,350,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
255,89,214,59,4330,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
256,22,66,117,1800,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
257,23,130,35,1270,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
258,88,53,37,1860,1,1,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
259,35,221,61,1690,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
260,172,156,145,22210,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
261,80,119,131,2160,1,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
262,75,111,127,13710,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
263,157,81,54,1400,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
264,142,143,197,4860,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
265,48,21,151,4480,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
266,62,13,48,150,1,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
267,51,26,23,9260,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
268,73,69,25,430,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
269,253,164,113,1240,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
270,263,87,48,4520,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
